,First Name,Last Name,SID,ID,Name,Email Address,Section,hw1_score,hw2_score,hw3_score,hw4_score,hw5_score,hw6_score,hw7_score,hw8_score,hw9_score,hw10_score,exam1_score,exam2_score,exam3_score,hw_avg,ex_avg,final_score,ceiling_score,final_letter_grade
10,Angela,Dunlap,axd31221,6253243,"Dunlap, Angela",angela.dunlap@univ.edu,2,61.25000000000001,91.25,88.75,75.0,88.57142857142857,71.11111111111111,82.0,94.28571428571428,70.0,93.33333333333333,82.0,64.0,92.0,81.55515873015874,79.33333333333333,80.66642857142858,81.0,B
11,Angela,Warren,axw80146,8966419,"Warren, Angela",angela.warren@univ.edu,1,67.5,77.5,73.75,77.0,84.28571428571429,94.44444444444444,88.0,78.57142857142857,96.66666666666667,80.0,70.0,84.0,78.0,81.77182539682539,77.33333333333333,79.99642857142857,80.0,B
12,Anthony,Miller,axm26865,2260221,"Miller, Anthony",anthony.miller@univ.edu,3,96.25,66.25,81.25,74.0,94.28571428571428,86.66666666666667,60.0,78.57142857142857,88.33333333333333,68.33333333333333,73.0,68.0,93.0,79.39404761904763,78.0,78.83642857142857,79.0,C
13,April,Greer,abg77872,1829060,"Greer, April Blake",april.greer@univ.edu,3,76.25,77.5,83.75,65.0,82.85714285714286,75.55555555555556,60.0,65.71428571428571,100.0,60.0,74.0,71.0,94.0,74.6626984126984,79.66666666666667,76.66428571428571,77.0,C
14,Ashlee,Foster,axf16145,2574682,"Foster, Ashlee",ashlee.foster@univ.edu,3,98.75,97.5,92.5,81.0,90.0,83.33333333333334,76.0,64.28571428571429,68.33333333333333,71.66666666666667,73.0,61.0,74.0,82.33690476190478,69.33333333333333,77.1354761904762,78.0,C
15,Ashley,Martin,asm59771,7485180,"Martin, Ashley Sara",ashley.martin@univ.edu,2,62.5,82.5,100.0,68.0,65.71428571428571,95.55555555555556,66.0,90.0,85.0,80.0,67.0,72.0,68.0,79.52698412698412,69.0,75.31619047619047,76.0,C
16,Bailey,Reyes,bxr62103,6345758,"Reyes, Bailey",bailey.reyes@univ.edu,2,66.25,62.5,68.75,97.0,81.42857142857143,83.33333333333334,78.0,91.42857142857143,68.33333333333333,76.66666666666667,90.0,72.0,71.0,77.36904761904762,77.66666666666667,77.48809523809524,78.0,C
17,Belinda,Bailey,bmb94857,7250041,"Bailey, Belinda Michael",belinda.bailey@univ.edu,3,75.0,92.5,68.75,76.0,91.42857142857143,92.22222222222223,88.0,64.28571428571429,83.33333333333334,96.66666666666667,83.0,95.0,87.0,82.8186507936508,88.33333333333333,85.02452380952381,86.0,B
18,Benjamin,Graham,bjg14618,8164846,"Graham, Benjamin James",benjamin.graham@univ.edu,2,80.0,65.0,72.5,87.0,85.71428571428571,98.88888888888889,82.0,64.28571428571429,83.33333333333334,61.66666666666667,81.0,73.0,81.0,78.03888888888889,78.33333333333333,78.15666666666667,79.0,C
19,Beth,Sanders,bms82804,7369942,"Sanders, Beth Melissa",beth.sanders@univ.edu,1,73.75,83.75,66.25,85.0,97.14285714285714,85.55555555555556,82.0,74.28571428571429,83.33333333333334,70.0,73.0,71.0,67.0,80.10674603174604,70.33333333333333,76.19738095238095,77.0,C
20,Billy,Schwartz,bxs54690,7046482,"Schwartz, Billy",billy.schwartz@univ.edu,1,70.0,65.0,70.0,89.0,65.71428571428571,73.33333333333333,66.0,72.85714285714285,80.0,86.66666666666667,89.0,62.0,93.0,73.85714285714286,81.33333333333333,76.84761904761905,77.0,C
21,Bradley,Bryan,bxb28023,1441344,"Bryan, Bradley",bradley.bryan@univ.edu,3,68.75,81.25,78.75,86.0,97.14285714285714,95.55555555555556,88.0,98.57142857142858,80.0,78.33333333333333,96.0,82.0,66.0,85.23531746031746,81.33333333333333,83.6745238095238,84.0,B
22,Brandon,Thomas,bxt62105,9496845,"Thomas, Brandon",brandon.thomas@univ.edu,3,100.0,61.25000000000001,66.25,77.0,65.71428571428571,95.55555555555556,66.0,75.71428571428571,61.66666666666667,85.0,86.0,72.0,65.0,75.41507936507935,74.33333333333333,74.98238095238094,75.0,C
23,Brandon,Flores,bcf26283,7831187,"Flores, Brandon Chad",brandon.flores@univ.edu,2,77.5,65.0,96.25,87.0,64.28571428571429,78.88888888888889,80.0,64.28571428571429,75.0,90.0,96.0,93.0,65.0,77.82103174603175,84.66666666666667,80.55928571428572,81.0,B
24,Brandy,Reilly,bkr19538,2916149,"Reilly, Brandy Kevin",brandy.reilly@univ.edu,2,87.5,100.0,68.75,84.0,60.0,87.77777777777777,88.0,85.71428571428571,75.0,86.66666666666667,69.0,67.0,95.0,82.34087301587302,77.0,80.2045238095238,81.0,B
25,Brett,Miranda,bxm17365,2489309,"Miranda, Brett",brett.miranda@univ.edu,3,92.5,78.75,66.25,71.0,87.14285714285714,68.88888888888889,86.0,72.85714285714285,90.0,85.0,82.0,94.0,95.0,79.83888888888889,90.33333333333333,84.03666666666666,85.0,B
26,Brett,Hunt,bch39598,7014488,"Hunt, Brett Caroline",brett.hunt@univ.edu,1,90.0,90.0,71.25,77.0,88.57142857142857,86.66666666666667,86.0,60.0,71.66666666666667,96.66666666666667,85.0,72.0,89.0,81.78214285714284,82.0,81.86928571428571,82.0,B
27,Brian,Myers,bgm86325,4167411,"Myers, Brian Gary",brian.myers@univ.edu,2,93.75,61.25000000000001,66.25,65.0,94.28571428571428,76.66666666666667,98.0,67.14285714285714,73.33333333333333,88.33333333333333,74.0,60.0,92.0,78.40119047619048,75.33333333333333,77.17404761904763,78.0,C
28,Brooke,Powers,bdp78944,4412160,"Powers, Brooke David",brooke.powers@univ.edu,1,100.0,75.0,66.25,66.0,65.71428571428571,94.44444444444444,90.0,77.14285714285715,73.33333333333333,95.0,77.0,87.0,90.0,80.28849206349206,84.66666666666667,82.0397619047619,83.0,B
29,Cameron,Dennis,cxd92501,3454432,"Dennis, Cameron",cameron.dennis@univ.edu,1,93.75,91.25,73.75,61.0,61.42857142857143,74.44444444444444,72.0,84.28571428571429,85.0,90.0,88.0,66.0,68.0,78.69087301587302,74.0,76.81452380952382,77.0,C
30,Carol,Watkins,cxw68726,5893837,"Watkins, Carol",carol.watkins@univ.edu,2,80.0,95.0,86.25,88.0,85.71428571428571,73.33333333333333,72.0,72.85714285714285,91.66666666666666,95.0,62.0,92.0,98.0,83.98214285714286,84.0,83.98928571428571,84.0,B
31,Carol,Reyes,cxr98775,3049287,"Reyes, Carol",carol.reyes@univ.edu,3,93.75,100.0,82.5,62.0,85.71428571428571,73.33333333333333,74.0,92.85714285714286,73.33333333333333,85.0,99.0,91.0,90.0,82.24880952380953,93.33333333333333,86.68261904761906,87.0,B
32,Charles,Campbell,cxc08121,9058767,"Campbell, Charles",charles.campbell@univ.edu,2,75.0,76.25,78.75,81.0,71.42857142857143,83.33333333333334,88.0,81.42857142857143,78.33333333333333,83.33333333333334,66.0,96.0,100.0,79.6857142857143,87.33333333333333,82.7447619047619,83.0,B
33,Christina,Allen,cxa22039,2685279,"Allen, Christina",christina.allen@univ.edu,1,78.75,97.5,95.0,68.0,75.71428571428571,92.22222222222223,88.0,98.57142857142858,65.0,71.66666666666667,60.0,70.0,67.0,83.04246031746031,65.66666666666667,76.09214285714286,77.0,C
34,Cindy,Nguyen,cxn83965,3949000,"Nguyen, Cindy",cindy.nguyen@univ.edu,2,63.74999999999999,73.75,72.5,63.0,74.28571428571429,64.44444444444444,100.0,94.28571428571428,76.66666666666667,68.33333333333333,82.0,68.0,82.0,75.1015873015873,77.33333333333333,75.99428571428571,76.0,C
35,Colleen,Hart,cxh80084,6427493,"Hart, Colleen",colleen.hart@univ.edu,1,60.0,87.5,73.75,81.0,65.71428571428571,68.88888888888889,76.0,74.28571428571429,75.0,98.33333333333333,68.0,72.0,62.0,76.04722222222223,67.33333333333333,72.56166666666667,73.0,C
36,Courtney,Wolf,cxw91147,4762255,"Wolf, Courtney",courtney.wolf@univ.edu,2,100.0,98.75,82.5,63.0,80.0,78.88888888888889,96.0,61.42857142857143,86.66666666666667,71.66666666666667,88.0,86.0,62.0,81.89007936507936,78.66666666666667,80.60071428571428,81.0,B
37,Crystal,Smith,cjs43553,3830106,"Smith, Crystal Jason",crystal.smith@univ.edu,3,78.75,100.0,73.75,90.0,68.57142857142857,73.33333333333333,96.0,91.42857142857143,86.66666666666667,96.66666666666667,85.0,88.0,60.0,85.51666666666667,77.66666666666667,82.37666666666667,83.0,B
38,Crystal,Holt,chh70562,6637567,"Holt, Crystal Heather",crystal.holt@univ.edu,2,85.0,63.74999999999999,80.0,91.0,74.28571428571429,74.44444444444444,74.0,61.42857142857143,75.0,65.0,63.0,97.0,73.0,74.39087301587303,77.66666666666667,75.70119047619048,76.0,C
39,Cynthia,Guzman,cxg21963,2332731,"Guzman, Cynthia",cynthia.guzman@univ.edu,1,78.75,85.0,60.0,67.0,78.57142857142857,60.0,76.0,72.85714285714285,95.0,78.33333333333333,64.0,74.0,66.0,75.15119047619048,68.0,72.29071428571429,73.0,C
40,Daisy,Anderson,dma58910,6426067,"Anderson, Daisy Michael",daisy.anderson@univ.edu,2,80.0,65.0,71.25,84.0,77.14285714285715,70.0,68.0,64.28571428571429,63.33333333333333,75.0,92.0,66.0,94.0,71.80119047619048,84.0,76.68071428571429,77.0,C
41,Daniel,Jones,dcj14616,4288557,"Jones, Daniel Carolyn",daniel.jones@univ.edu,1,76.25,61.25000000000001,97.5,98.0,80.0,94.44444444444444,64.0,60.0,66.66666666666666,96.66666666666667,79.0,68.0,61.0,79.47777777777777,69.33333333333333,75.41999999999999,76.0,C
42,Danielle,Lee,dsl24347,9804556,"Lee, Danielle Stephanie",danielle.lee@univ.edu,3,86.25,63.74999999999999,87.5,96.0,72.85714285714285,85.55555555555556,74.0,74.28571428571429,81.66666666666667,95.0,62.0,70.0,90.0,81.68650793650792,74.0,78.61190476190475,79.0,C
43,David,Beck,djb29817,7482388,"Beck, David John",david.beck@univ.edu,1,77.5,98.75,60.0,61.0,61.42857142857143,65.55555555555556,84.0,72.85714285714285,91.66666666666666,65.0,91.0,74.0,65.0,73.77579365079364,76.66666666666667,74.93214285714285,75.0,C
44,Desiree,Garcia,dsg54218,9006764,"Garcia, Desiree Stephanie",desiree.garcia@univ.edu,2,85.0,97.5,96.25,95.0,85.71428571428571,81.11111111111111,70.0,67.14285714285714,75.0,91.66666666666666,81.0,99.0,70.0,84.43849206349206,83.33333333333333,83.99642857142857,84.0,B
45,Desiree,Delgado,djd31335,6611132,"Delgado, Desiree Jennifer",desiree.delgado@univ.edu,2,86.25,92.5,92.5,64.0,85.71428571428571,61.111111111111114,62.0,78.57142857142857,91.66666666666666,85.0,88.0,69.0,78.0,79.93134920634921,78.33333333333333,79.29214285714286,80.0,B
46,Donna,Nguyen,dxn21936,8786799,"Nguyen, Donna",donna.nguyen@univ.edu,1,65.0,97.5,73.75,76.0,78.57142857142857,64.44444444444444,64.0,92.85714285714286,80.0,76.66666666666667,70.0,87.0,64.0,76.87896825396825,73.66666666666667,75.59404761904761,76.0,C
47,Douglas,Payne,dxp49123,7256989,"Payne, Douglas",douglas.payne@univ.edu,1,60.0,68.75,61.25000000000001,62.0,65.71428571428571,100.0,70.0,88.57142857142857,85.0,85.0,74.0,71.0,96.0,74.62857142857143,80.33333333333333,76.91047619047619,77.0,C
48,Dylan,Johnson,dxj78877,3774708,"Johnson, Dylan",dylan.johnson@univ.edu,3,76.25,60.0,73.75,71.0,60.0,83.33333333333334,100.0,70.0,60.0,83.33333333333334,72.0,64.0,99.0,73.76666666666668,78.33333333333333,75.59333333333333,76.0,C
49,Emily,Dudley,eed42850,5824785,"Dudley, Emily Emily",emily.dudley@univ.edu,1,66.25,100.0,77.5,93.0,100.0,68.88888888888889,80.0,88.57142857142857,61.66666666666667,61.66666666666667,96.0,73.0,76.0,79.75436507936507,81.66666666666667,80.51928571428572,81.0,B
50,Emily,Houston,edh14938,2886234,"Houston, Emily Donna",emily.houston@univ.edu,1,67.5,75.0,70.0,71.0,80.0,78.88888888888889,92.0,78.57142857142857,86.66666666666667,66.66666666666666,100.0,78.0,87.0,76.62936507936507,88.33333333333333,81.31095238095239,82.0,B
51,Erin,Duffy,exd72538,5461012,"Duffy, Erin",erin.duffy@univ.edu,1,82.5,67.5,62.5,65.0,80.0,72.22222222222221,70.0,65.71428571428571,76.66666666666667,98.33333333333333,85.0,92.0,88.0,74.0436507936508,88.33333333333333,79.75952380952381,80.0,B
52,Felicia,Simpson,fxs77894,1905666,"Simpson, Felicia",felicia.simpson@univ.edu,3,73.75,82.5,96.25,73.0,85.71428571428571,100.0,72.0,90.0,88.33333333333333,68.33333333333333,63.0,90.0,99.0,82.98809523809526,84.0,83.39285714285715,84.0,B
53,Heather,Webb,hxw92728,8037797,"Webb, Heather",heather.webb@univ.edu,3,70.0,60.0,75.0,60.0,67.14285714285714,93.33333333333333,70.0,64.28571428571429,73.33333333333333,66.66666666666666,100.0,61.0,62.0,69.97619047619047,74.33333333333333,71.71904761904761,72.0,C
54,Heidi,Glover,hxg56446,1590887,"Glover, Heidi",heidi.glover@univ.edu,2,81.25,65.0,75.0,65.0,64.28571428571429,90.0,94.0,61.42857142857143,85.0,80.0,60.0,83.0,83.0,76.09642857142856,75.33333333333333,75.79119047619047,76.0,C
55,Holly,Watson,hsw06874,5622557,"Watson, Holly Samuel",holly.watson@univ.edu,2,82.5,63.74999999999999,82.5,79.0,75.71428571428571,61.111111111111114,70.0,87.14285714285714,81.66666666666667,81.66666666666667,81.0,100.0,90.0,76.50515873015873,90.33333333333333,82.03642857142856,83.0,B
56,James,Underwood,jxu45537,4463768,"Underwood, James",james.underwood@univ.edu,1,81.25,92.5,91.25,81.0,94.28571428571428,87.77777777777777,80.0,64.28571428571429,85.0,65.0,77.0,76.0,84.0,82.23492063492064,79.0,80.94095238095238,81.0,B
57,Jamie,Johnson,jxj82678,7566895,"Johnson, Jamie",jamie.johnson@univ.edu,2,92.5,97.5,95.0,100.0,94.28571428571428,94.44444444444444,80.0,95.71428571428572,60.0,83.33333333333334,63.0,71.0,90.0,89.27777777777777,74.66666666666667,83.43333333333334,84.0,B
58,Jason,Reyes,jxr10806,3330029,"Reyes, Jason",jason.reyes@univ.edu,3,83.75,82.5,81.25,68.0,81.42857142857143,77.77777777777779,68.0,91.42857142857143,95.0,73.33333333333333,70.0,81.0,86.0,80.2468253968254,79.0,79.74809523809523,80.0,B
59,Jeffrey,Perez,jxp06435,9975979,"Perez, Jeffrey",jeffrey.perez@univ.edu,3,62.5,70.0,62.5,100.0,75.71428571428571,95.55555555555556,82.0,82.85714285714286,73.33333333333333,85.0,67.0,81.0,95.0,78.94603174603175,81.0,79.76761904761905,80.0,B
60,Jessica,Garza,jag55224,8065342,"Garza, Jessica Allison",jessica.garza@univ.edu,1,61.25000000000001,96.25,88.75,69.0,62.857142857142854,82.22222222222221,92.0,91.42857142857143,76.66666666666667,91.66666666666666,90.0,79.0,62.0,81.20912698412698,77.0,79.52547619047618,80.0,B
61,Jill,Walsh,jxw98212,7187270,"Walsh, Jill",jill.walsh@univ.edu,1,81.25,60.0,61.25000000000001,73.0,67.14285714285714,82.22222222222221,76.0,97.14285714285714,83.33333333333334,63.33333333333333,73.0,99.0,78.0,74.46746031746032,83.33333333333333,78.01380952380953,79.0,C
62,Jill,Clark,jgc21028,6503525,"Clark, Jill Gregg",jill.clark@univ.edu,3,87.5,88.75,65.0,96.0,80.0,78.88888888888889,72.0,78.57142857142857,88.33333333333333,83.33333333333334,62.0,94.0,88.0,81.83769841269842,81.33333333333333,81.63595238095238,82.0,B
63,John,Odom,jxo31236,2575196,"Odom, John",john.odom@univ.edu,2,73.75,73.75,75.0,61.0,62.857142857142854,68.88888888888889,68.0,94.28571428571428,86.66666666666667,91.66666666666666,85.0,100.0,80.0,75.58650793650793,88.33333333333333,80.68523809523809,81.0,B
64,John,Harris,jlh15029,8776566,"Harris, John Lisa",john.harris@univ.edu,1,92.5,96.25,66.25,89.0,98.57142857142858,96.66666666666667,94.0,61.42857142857143,65.0,100.0,91.0,90.0,95.0,85.96666666666667,92.0,88.38,89.0,B
65,John,Rodriguez,jsr21334,9326195,"Rodriguez, John Sandra",john.rodriguez@univ.edu,3,97.5,95.0,78.75,61.0,74.28571428571429,67.77777777777779,82.0,78.57142857142857,61.66666666666667,100.0,92.0,68.0,89.0,79.65515873015872,83.0,80.99309523809524,81.0,B
66,John,Bauer,jxb40799,1837857,"Bauer, John",john.bauer@univ.edu,1,71.25,87.5,91.25,83.0,80.0,98.88888888888889,76.0,81.42857142857143,95.0,73.33333333333333,64.0,88.0,92.0,83.76507936507937,81.33333333333333,82.79238095238095,83.0,B
67,Gregg,Flower,jgf12345,4567890,"Flower, John Gregg",john.g.2.flower@univ.edu,3,86.25,65.0,80.0,75.0,87.14285714285714,92.22222222222223,82.0,61.42857142857143,70.0,66.66666666666666,72.0,83.0,77.0,76.57103174603174,77.33333333333333,76.87595238095237,77.0,C
68,John,Woodard,jxw87000,8605280,"Woodard, John",john.woodard@univ.edu,2,63.74999999999999,85.0,70.0,71.0,98.57142857142858,66.66666666666666,66.0,80.0,68.33333333333333,100.0,68.0,93.0,62.0,76.93214285714285,74.33333333333333,75.89261904761904,76.0,C
69,Jonathan,Pena,jmp63760,1994210,"Pena, Jonathan Michael",jonathan.pena@univ.edu,1,66.25,92.5,68.75,70.0,72.85714285714285,82.22222222222221,66.0,90.0,78.33333333333333,70.0,74.0,79.0,84.0,75.69126984126984,79.0,77.01476190476191,78.0,C
70,Jorge,Miller,jxm83777,6278235,"Miller, Jorge",jorge.miller@univ.edu,1,86.25,70.0,73.75,88.0,71.42857142857143,74.44444444444444,94.0,91.42857142857143,96.66666666666667,95.0,74.0,73.0,81.0,84.0968253968254,76.0,80.85809523809523,81.0,B
71,Joseph,Young,jty40106,9248728,"Young, Joseph Teresa",joseph.young@univ.edu,1,63.74999999999999,86.25,75.0,68.0,95.71428571428572,70.0,98.0,60.0,91.66666666666666,81.66666666666667,72.0,68.0,96.0,79.0047619047619,78.66666666666667,78.86952380952381,79.0,C
72,Joyce,Walls,jxw53347,5566719,"Walls, Joyce",joyce.walls@univ.edu,1,73.75,96.25,76.25,84.0,62.857142857142854,71.11111111111111,80.0,64.28571428571429,66.66666666666666,70.0,69.0,73.0,91.0,74.5170634920635,77.66666666666667,75.77690476190477,76.0,C
73,Katelyn,Faulkner,kxf45205,1866225,"Faulkner, Katelyn",katelyn.faulkner@univ.edu,1,81.25,81.25,68.75,90.0,98.57142857142858,72.22222222222221,68.0,98.57142857142858,73.33333333333333,70.0,68.0,60.0,61.0,80.19484126984128,63.0,73.31690476190477,74.0,C
74,Kelsey,Brown,ksb85997,7521527,"Brown, Kelsey Steven",kelsey.brown@univ.edu,2,97.5,85.0,65.0,80.0,72.85714285714285,77.77777777777779,98.0,65.71428571428571,98.33333333333333,93.33333333333333,80.0,69.0,83.0,83.3515873015873,77.33333333333333,80.94428571428571,81.0,B
75,Kerry,Smith,kxs29884,9227999,"Smith, Kerry",kerry.smith@univ.edu,1,66.25,91.25,66.25,71.0,90.0,76.66666666666667,100.0,62.857142857142854,91.66666666666666,81.66666666666667,62.0,95.0,84.0,79.76071428571429,80.33333333333333,79.9897619047619,80.0,B
76,Kimberly,Rhodes,kpr82051,1061475,"Rhodes, Kimberly Peter",kimberly.rhodes@univ.edu,3,75.0,76.25,75.0,79.0,60.0,95.55555555555556,68.0,68.57142857142857,80.0,78.33333333333333,61.0,62.0,97.0,75.57103174603175,73.33333333333333,74.67595238095238,75.0,C
77,Kimberly,Moore,kam90876,1983467,"Moore, Kimberly Andrea",kimberly.moore@univ.edu,1,98.75,75.0,87.5,90.0,77.14285714285715,67.77777777777779,76.0,77.14285714285715,76.66666666666667,60.0,64.0,96.0,64.0,78.59801587301587,74.66666666666667,77.02547619047618,78.0,C
78,Kimberly,Williams,kxw26270,4133244,"Williams, Kimberly",kimberly.williams@univ.edu,2,90.0,100.0,78.75,87.0,81.42857142857143,78.88888888888889,60.0,61.42857142857143,70.0,81.66666666666667,82.0,95.0,85.0,78.91626984126984,87.33333333333333,82.28309523809523,83.0,B
79,Kimberly,Mccall,kxm62826,2858583,"Mccall, Kimberly",kimberly.mccall@univ.edu,3,76.25,66.25,98.75,95.0,62.857142857142854,96.66666666666667,72.0,68.57142857142857,100.0,95.0,79.0,98.0,60.0,83.13452380952381,79.0,81.48071428571428,82.0,B
80,Kristin,Petersen,ksp17362,2570154,"Petersen, Kristin Sarah",kristin.petersen@univ.edu,1,61.25000000000001,96.25,93.75,90.0,77.14285714285715,100.0,90.0,67.14285714285714,76.66666666666667,66.66666666666666,97.0,68.0,97.0,81.88690476190474,87.33333333333333,84.06547619047618,85.0,B
81,Laura,Reid,lcr30757,1397380,"Reid, Laura Clarence",laura.reid@univ.edu,3,63.74999999999999,93.75,60.0,62.0,60.0,60.0,64.0,87.14285714285714,81.66666666666667,76.66666666666667,64.0,86.0,86.0,70.89761904761903,78.66666666666667,74.00523809523808,75.0,C
82,Lauren,Brock,lmb95641,9365638,"Brock, Lauren Mark",lauren.brock@univ.edu,2,92.5,72.5,77.5,82.0,77.14285714285715,96.66666666666667,60.0,72.85714285714285,100.0,90.0,75.0,72.0,96.0,82.11666666666667,81.0,81.67,82.0,B
83,Lauren,Anderson,lba53221,1067615,"Anderson, Lauren Billy",lauren.anderson@univ.edu,2,68.75,93.75,71.25,75.0,67.14285714285714,92.22222222222223,96.0,62.857142857142854,73.33333333333333,93.33333333333333,94.0,67.0,86.0,79.3638888888889,82.33333333333333,80.55166666666666,81.0,B
84,Leslie,Sparks,lxs77616,3769525,"Sparks, Leslie",leslie.sparks@univ.edu,2,82.5,96.25,67.5,66.0,68.57142857142857,62.22222222222222,76.0,90.0,71.66666666666667,83.33333333333334,61.0,95.0,90.0,76.40436507936508,82.0,78.64261904761905,79.0,C
85,Levi,Wilkerson,lkw48972,7543126,"Wilkerson, Levi Kayla",levi.wilkerson@univ.edu,3,65.0,100.0,93.75,62.0,61.42857142857143,77.77777777777779,66.0,60.0,63.33333333333333,70.0,71.0,96.0,93.0,71.92896825396825,86.66666666666667,77.82404761904762,78.0,C
86,Linda,Friedman,llf55044,5630129,"Friedman, Linda Lance",linda.friedman@univ.edu,3,61.25000000000001,87.5,77.5,83.0,82.85714285714286,87.77777777777777,84.0,85.71428571428571,90.0,70.0,64.0,86.0,70.0,80.95992063492064,73.33333333333333,77.90928571428572,78.0,C
87,Lori,Gordon,lxg35058,1830837,"Gordon, Lori",lori.gordon@univ.edu,2,65.0,92.5,93.75,79.0,95.71428571428572,80.0,100.0,72.85714285714285,66.66666666666666,63.33333333333333,88.0,96.0,76.0,80.88214285714287,86.66666666666667,83.19595238095239,84.0,B
88,Lorraine,Carter,lxc64780,2218112,"Carter, Lorraine",lorraine.carter@univ.edu,2,62.5,82.5,77.5,80.0,60.0,73.33333333333333,76.0,80.0,75.0,71.66666666666667,68.0,69.0,99.0,73.85,78.66666666666667,75.77666666666667,76.0,C
89,Lucas,Baldwin,lxb98047,3792268,"Baldwin, Lucas",lucas.baldwin@univ.edu,1,98.75,62.5,96.25,95.0,78.57142857142857,84.44444444444444,60.0,95.71428571428572,91.66666666666666,83.33333333333334,83.0,74.0,97.0,84.62301587301587,84.66666666666667,84.64047619047619,85.0,B
90,Luke,Davidson,lxd16906,1142484,"Davidson, Luke",luke.davidson@univ.edu,3,61.25000000000001,96.25,96.25,94.0,64.28571428571429,76.66666666666667,80.0,75.71428571428571,91.66666666666666,91.66666666666666,92.0,62.0,60.0,82.77499999999999,71.33333333333333,78.19833333333332,79.0,C
91,Malaika,Lambert,mxl12345,2345678,"Lambert, Malaika",malaika.lambert@univ.edu,2,78.75,71.25,97.5,83.0,87.14285714285714,97.77777777777777,84.0,82.85714285714286,75.0,61.66666666666667,60.0,91.0,93.0,81.89444444444445,81.33333333333333,81.66999999999999,82.0,B
92,Marcia,Stevens,mxs29840,6936009,"Stevens, Marcia",marcia.stevens@univ.edu,2,63.74999999999999,90.0,75.0,84.0,97.14285714285714,81.11111111111111,100.0,92.85714285714286,98.33333333333333,98.33333333333333,63.0,99.0,83.0,88.05277777777778,81.66666666666667,85.49833333333333,86.0,B
93,Margaret,James,mjj83180,8902246,"James, Margaret Juan",margaret.james@univ.edu,2,83.75,78.75,60.0,81.0,88.57142857142857,98.88888888888889,72.0,81.42857142857143,80.0,85.0,85.0,90.0,97.0,80.9388888888889,90.66666666666667,84.83000000000001,85.0,B
